Round of 16,,,,,,,,,Suggestions,,,,,,,,,,,,,,,F,DT,,,Filter,,,,,,,,,,,A,Round of 16,★6.20,,Mappool Assembly,,,,,,,,,,,
suggest_ids,suggest_mods,pooled_ids,pooled_mods,pooled_picks,pooled_nums,pooled_sugs,pooled_notes,,Map ID/URL,Mod,Suggester,Skillset/Comments,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID,,Mod,Suggester,Skillset/Comments,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID,,Skillset/Notes,Mod,#,Map ID/URL,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID
1317186,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/624995#osu/1317186,NM,suki,nm5,,xi - ANiMA [Soul],★6.43,184,01:50,1135x,4,9.4,9.2,6,1317186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820139,FM,,,,,,,,https://osu.ppy.sh/beatmapsets/1363160#osu/2820139,FM,suki,fm1,,Good Kid - nomu [slowly drifting apart],★5.99,182,02:29,882x,3.9,9.4,9,4,2820139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2638692,HD,,,,,,,,https://osu.ppy.sh/beatmapsets/1250846#osu/2638692,HD,suki,hd1,,Franchouchou - Saga Jihen [Frontier's Extra],★5.93,224,03:07,1250x,4,9.3,8.5,6.5,2638692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431582,HD,,,,,,,,https://osu.ppy.sh/beatmapsets/665057#osu/1431582,HD,suki,hd1?,,Shiggy Jr. - oyasumi [ex],★5.89,200,01:07,432x,4.2,9.6,9.2,6,1431582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809469,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/369354#osu/809469,NM,suki,nm5?,,Equilibrium - Waldschrein [Mein Land],★6.39,200,05:15,2036x,4.2,9.3,8.5,6.5,809469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843575,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/881753#osu/1843575,NM,namriee,nm 4,,Krewella x Diskord - Beggars (Consouls Remix) [Neil x Ameth's Conflux],★6.16,174,03:16,1439x,4,9.5,8.6,5.6,1843575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207232,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/72121#osu/207232,NM,suki,nm5?,,The Quick Brown Fox - Cloudsmasher [Extra],★6.27,364,02:30,1562x,5,9,9,5,207232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837892,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/1638844#osu/3837892,NM,suki,nm1,,U2 - Saigetsu (Koko & Satsuki ga Tenkomori's Sagyou Bougai Remix) [GOBLIN BONANZA COLLAB!],★6.29,180,03:59,1587x,4,8,8,5,3837892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650676,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/1269276#osu/2650676,NM,suki,ill kill myself if this isnt nm5,,"UNDEAD CORPORATION - Bleed, hate, curse, and die [Bleed]",★6.21,225,03:24,2016x,4,9.3,9,4,2650676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957468,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/445730#osu/957468,NM,suki,nm1,,"Wakeshima Kanon - World's End, Girl's Rondo (Asterisk DnB Remix) [Addiction]",★6.22,175,05:32,2096x,4,9.3,8.7,5,957468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142954,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/27104#osu/142954,NM,suki,nm1,,Yousei Teikoku - Senketsu no Chikai [Insanity],★6.40,180,03:47,1314x,4,9,7,7,142954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040764,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/482382#osu/2040764,NM,suki,nm5,,Imperial Circus Dead Decadence - Shinbatsu o Tadori Kyoukotsu ni Itaru [Extra Collab],★6.11,250,04:12,2221x,3.2,9.5,8.5,4,2040764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
