User ID,Player,Discord,Team,Time Zone,Unique
3257847,MyzeJD,Sebastien#6193,Lubię ich młodych.,-1,
14169321,Epla toppur,Swaga Kúl#1487,Lubię ich młodych.,-1,
11685498,-ktrihc,-keytrick#5155,Lubię ich młodych.,-1,
3061206,Lunage,Potato#1337,Menaces,-5UTC,
11032889,tsMassaharu,tsMassaharu#0428,Menaces,-5UTC,
13594983,(#Restricted),pok#5916,Menaces,-5UTC,
17707354,-AJ,ahjj#1714,Menaces,-5UTC,
14480201,anime_gamer2009,anime_gamer2009#3272,Meowrki,+3UTC,
8948585,InfinityJelly,InfinityJelly#5085,Meowrki,+3UTC,
6286661,Aya Maruyama,aneyo #5203,Meowrki,+3UTC,
13864975,ferom,renderOSUGAME#0592,Meowrki,+3UTC,
12182138,LegacyQuitW,ShoujoQuitW#8326,Mikubara,-4UTC,
11646616,Marguenka,Marguenka#4032,Mikubara,-4UTC,
1594767,Hunteriwi,Hunteriwi#2685,Mikubara,-4UTC,
11332703,PoSharTo,PoSharTo#4047,Milk,+0UTC,
20210086,Davney,Davney#2186,Milk,+0UTC,
